Key,Start,End,Title,Location,Description,Updated,Sequence
a1@sample,2026-08-18,2026-08-21,Early Dismissal for Kindergarten Only,,,2026-08-01 09:00,0
a2@sample,2026-08-27 18:00,2026-08-27 19:30,LS Back to School Night,Gym,,2026-08-01 09:00,1
a3@sample,2026-09-03 18:00,2026-09-03 19:30,MS Back to School Night,Gym,,2026-08-01 09:00,0
a4@sample,2026-09-07,2026-09-07,Labor Day - No School,,,2026-08-01 09:00,0
a5@sample,2026-09-09,2026-09-11,3/4 Camping,Camp Redwood,Pack a sleeping bag.,2026-08-15 09:00,2
a6@sample,2026-09-18 08:00,2026-09-18 09:00,Hummingbird CAFE,Library,,2026-08-15 09:00,0
a7@sample,2026-09-24 16:00,2026-09-24 18:00,International Night,,Booths from every classroom.,2026-08-15 09:00,0
a8@sample,2026-10-16 08:00,2026-10-16 09:00,Hawks and Falcons CAFE,Library,,2026-08-15 09:00,0
a9@sample,2026-12-17,2026-12-18,No Aftercare,,,2026-11-01 09:00,0
a10@sample,2026-12-18,2026-12-18,Winter Break Starts - No School,,,2026-11-01 09:00,0
a11@sample,2027-02-26 09:00,2027-02-26 10:00,Condors and Ospreys CAFE,Library,,2026-08-15 09:00,0
a12@sample,2027-03-06 17:30,2027-03-06 22:00,Spring Celebration,,,2026-08-15 09:00,0
